Age,Attrition,BusinessTravel,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageWorkingHours,TotalWorkingDays,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
51.0,0.0,1.0,6.0,2.0,1.0,131160.0,1.0,11.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,2.0,7.373650622605365,232.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31.0,1.0,2.0,10.0,1.0,1.0,41890.0,0.0,23.0,1.0,6.0,3.0,5.0,1.0,4.0,2.0,4.0,3.0,2.0,4.0,7.718968926553672,236.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32.0,0.0,2.0,17.0,4.0,4.0,193280.0,1.0,15.0,3.0,5.0,2.0,5.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,7.013240358126722,242.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38.0,0.0,0.0,2.0,5.0,3.0,83210.0,3.0,11.0,3.0,13.0,5.0,8.0,7.0,5.0,2.0,3.0,4.0,4.0,3.0,7.193678486997635,235.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,0.0,1.0,10.0,1.0,1.0,23420.0,4.0,12.0,2.0,9.0,2.0,6.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,8.006174603174603,245.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46.0,0.0,1.0,8.0,3.0,4.0,40710.0,3.0,13.0,0.0,28.0,5.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2.0,10.796095874355368,237.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,1.0,1.0,11.0,2.0,2.0,58130.0,2.0,20.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,1.0,6.923570402298851,232.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29.0,0.0,1.0,18.0,3.0,2.0,31430.0,2.0,22.0,3.0,10.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,3.0,6.725620713305898,243.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31.0,0.0,1.0,1.0,3.0,3.0,20440.0,0.0,21.0,0.0,10.0,2.0,9.0,7.0,8.0,3.0,4.0,2.0,4.0,3.0,7.236498792270532,230.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,0.0,0.0,7.0,4.0,4.0,134640.0,1.0,13.0,1.0,6.0,2.0,6.0,1.0,5.0,3.0,3.0,2.0,1.0,3.0,7.080087844254511,234.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45.0,0.0,1.0,17.0,2.0,2.0,79910.0,0.0,13.0,2.0,21.0,2.0,20.0,4.0,10.0,2.0,3.0,3.0,4.0,3.0,8.403485477178425,241.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,0.0,1.0,28.0,1.0,1.0,33770.0,0.0,12.0,2.0,16.0,2.0,15.0,10.0,11.0,3.0,3.0,2.7236031927023947,4.0,3.0,7.06895458736745,241.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
